keyword,tfidf_weight
医院,226.1073763875395
医生,181.35482866510756
三明,102.97269106068957
医改,93.19993890746113
工资,90.04500836816209
doge,86.2229975570547
一个,78.44131998650903
临床,76.04972356449227
私立,68.07694366084144
医疗,62.976333331522454
