主题编号,医院,doge,医生,说,年,工资,行政,三甲,临床,高,私立,收入,钱,做,转,转行,笑,干,病人,工作,哭,惹,没,科室,技师,偷笑,低,医技,真的,工作量,麻醉,医改,三明,医师,想,微笑,科,石化,失望,学医,医疗,读,吃,手术,算,门诊,医学
0,0.027882400900125504,0.013092387467622757,0.012002631090581417,0.008464585058391094,0.008070564828813076,0.006041648797690868,0.00595469493418932,0.005689145997166634,0.005612617824226618,0.005208583548665047,0.005095698870718479,0.004817414563149214,0.004633841570466757,0.004121854435652494,0.003953295294195414,0.0038173880893737078,0.003646356053650379,0.003641058225184679,0.0035899493377655745,0.0035270140506327152,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01037961058318615,0.004380600992590189,0.016272585839033127,0.004552860744297504,,0.0052232216112315655,,,,0.004514819476753473,,0.003523510182276368,0.008290604688227177,,,,0.017662059515714645,,,0.004938377533107996,0.02980847656726837,0.012483824975788593,0.005205691326409578,0.004474598448723555,0.0044135465286672115,0.0038584363646805286,0.0035459965001791716,0.0035174943041056395,0.003483144100755453,0.0034020040184259415,,,,,,,,,,,,,,,,,
2,0.012529602274298668,0.004865226801484823,0.015423435717821121,,,0.005151783116161823,,,0.008769592270255089,,,,,0.00549098988994956,,,0.01731794700026512,,,,0.02417779713869095,0.007582874968647957,0.0050030178390443325,0.0070791095495224,0.0046762265264987946,,,0.00933701079338789,,,0.02698560059070587,0.00886281207203865,0.007603431586176157,0.00756810512393713,0.006720392033457756,0.004928093869239092,0.004319831728935242,,,,,,,,,,
3,,,0.009166907519102097,0.01296920608729124,,0.006156936753541231,,,,,,,,,,,,,0.006161170545965433,,,,0.0037923255003988743,,0.003622133983299136,0.007260663900524378,,,,,0.003957256209105253,,0.0049813902005553246,,0.007672920823097229,,,0.00924939475953579,0.008408771827816963,0.005420181434601545,0.005413437262177467,0.004360842984169722,0.004164194222539663,0.004101244267076254,0.004026071634143591,0.003922923933714628,0.0035355887375772
